factor,level,R,P,U
beta,0.1,0.75388085,0.1046921,0.82010825
beta,0.15,0.74599645,0.10770465,0.81108075
beta,0.2,0.73892005,0.1120936,0.7996199
beta,0.3,0.74560985,0.1437173,0.82191775
eta,3,0.7372637,0.1432553,0.8251964
eta,3.5,0.7435427,0.1208113,0.80547625
eta,4,0.75200365,0.10694535,0.81017705
eta,4.5,0.75159715,0.0971957,0.81187695
N,2,0.757179437,0.100284687,0.807209
N,4,0.746220813,0.107325688,0.795144313
N,6,0.743284,0.118482375,0.809098813
N,8,0.743164875,0.12789325,0.827114687
N,10,0.740659875,0.131273562,0.8273415
