power_beta,power_eta,power_N,R,P,U
0,0,0,0.738220053316,0.109629820408,0.789194521939
0,0,1,-0.00530869399621,0.0212672285417,0.0399376797727
0,1,0,0.00853948011688,-0.0207577892873,0.00757595993019
1,0,0,-0.0100459710884,0.0149368715986,-0.0137182542517
0,0,2,0.00576773265306,-0.0029879122449,0.00859496326531
0,1,1,-0.000782334,-0.000121591714286,0.004447044
0,2,0,-0.00393096535714,0.00712392428571,0.0110302135714
1,0,1,-0.00495904818182,0.017001845,0.00485486090909
1,1,0,-0.00117900218182,-3.11716363636e-05,0.00543196963636
2,0,0,0.0108253,0.0121111,0.0213931
0,0,3,-0.00693845833333,-0.00676416666667,-0.0292055
0,1,2,0.00782006785714,0.000867782142857,-0.00189092142857
0,2,1,0.003474590625,0.000128165625,0.0028963125
0,3,0,-0.0062152875,-0.002509734375,-0.015424790625
1,0,2,0.00105628979592,-0.00317829795918,0.00328684897959
1,1,1,-0.004794252,-0.000255193714286,-0.001690728
1,2,0,-0.00136297285714,-0.000133180714286,-0.00814851642857
2,0,1,0.00255495454545,0.00541405,-0.00296557272727
2,1,0,0.00139577454545,-0.000355669090909,0.00500188909091
3,0,0,0.00613953333333,0.00623886666667,0.0175065333333
