sample,beta,eta,N,R,P,U,R_pred,R_resid,P_pred,P_resid,U_pred,U_resid,R_cv_pred,R_cv_resid,P_cv_pred,P_cv_resid,U_cv_pred,U_cv_resid
5,0.1,3,10,0.737106,0.133268,0.841061,0.73710572725,2.72749998809e-07,0.133646742331,-0.000378742331169,0.841126306448,-6.53064480545e-05,0.737105449306,5.50693881052e-07,0.133984559472,-0.00071655947181,0.841178372628,-0.000117372628389
6,0.1,3.5,10,0.745612,0.111335,0.814314,0.745612265718,-2.6571753331e-07,0.111278007682,5.69923181818e-05,0.814245697669,6.83023311669e-05,0.745612390306,-3.90305868292e-07,0.111327393479,7.60652116358e-06,0.814248260522,6.57394776457e-05
7,0.1,4,10,0.760449,0.09784,0.820718,0.760449369185,-3.69185065852e-07,0.0977048330325,0.000135166967532,0.82069827389,1.97261103877e-05,0.7604495872,-5.87200460811e-07,0.0978399440225,5.59775029385e-08,0.820770302617,-5.23026165632e-05
8,0.1,4.5,10,0.770568,0.088532,0.833199,0.770567637653,3.6234740175e-07,0.0884654683831,6.6531616883e-05,0.83306218511,0.000136814889609,0.770567098426,9.01573939394e-07,0.0884869611599,4.503884006e-05,0.832914041475,0.000284958525271
9,0.15,3,10,0.72882,0.14023,0.837724,0.728820234842,-2.34841837421e-07,0.140151937984,7.80620157699e-05,0.837642143264,8.185673562e-05,0.728820432345,-4.32344677948e-07,0.139925866948,0.000304133052465,0.837517506196,0.000206493804226
10,0.15,3.5,10,0.735244,0.118178,0.813224,0.735243567024,4.32976344777e-07,0.117924774192,0.000253225807978,0.813129233342,9.47666576985e-05,0.735243438822,5.61177949887e-07,0.117858651463,0.000319348537223,0.813109610666,0.000114389333613
11,0.15,4,10,0.747392,0.104589,0.818288,0.747391698491,3.01508812028e-07,0.104433978971,0.000155021028757,0.818327945563,-3.99455630807e-05,0.747391675474,3.2452583365e-07,0.104403201141,0.000185798859074,0.818345604617,-5.76046165828e-05
12,0.15,4.5,10,0.754215,0.095212,0.825843,0.754215229244,-2.29244434546e-07,0.0952178023219,-5.8023218924e-06,0.825816429927,2.65700732829e-05,0.754215285066,-2.85066072525e-07,0.0952233087036,-1.13087035806e-05,0.825802119913,4.08800866485e-05
13,0.2,3,10,0.721922,0.151123,0.827775,0.721922332434,-3.32433674144e-07,0.150918393183,0.000204606817254,0.827740899172,3.41008283846e-05,0.721922472766,-4.72765966153e-07,0.150721441735,0.000401558264727,0.827679691141,9.53088590514e-05
14,0.2,3.5,10,0.726728,0.128913,0.80723,0.726727716512,2.83488404307e-07,0.128714243884,0.000198756115955,0.80726298447,-3.29844703161e-05,0.726727607291,3.92709338493e-07,0.128913569105,-5.69105253395e-07,0.807369382725,-0.000139382724956
15,0.2,4,10,0.736652,0.115192,0.812663,0.736652134161,-1.34160946463e-07,0.115187271728,4.72827179961e-06,0.812875129055,-0.000212129054732,0.736652200718,-2.00717776955e-07,0.115308909434,-0.000116909433599,0.813028789887,-0.000365789887052
16,0.2,4.5,10,0.740646,0.105707,0.817001,0.740646185382,-1.85381725637e-07,0.105875726715,-0.000168726715213,0.817155482925,-0.000154482924862,0.740646287895,-2.8789463058e-07,0.106023389684,-0.000316389684106,0.817114290334,-0.00011329033403
17,0.3,3,10,0.730708,0.204048,0.841327,0.730707897617,1.02382652578e-07,0.203951682216,9.6317783859e-05,0.841206768259,0.000120231741186,0.730707776924,2.23075978467e-07,0.203863785772,0.00018421422825,0.841262196684,6.48033162967e-05
18,0.3,3.5,10,0.733673,0.181409,0.833822,0.733673160033,-1.60032931351e-07,0.181437892814,-2.88928135436e-05,0.83380073309,2.12669100182e-05,0.733673332731,-3.32731081465e-07,0.181411290928,-2.29092782592e-06,0.833760477656,6.15223444653e-05
19,0.3,4,10,0.740546,0.167308,0.845122,0.740545924591,7.54086270094e-08,0.167482897697,-0.000174897696661,0.845241631493,-0.000119631492579,0.740545862511,1.37488751051e-07,0.167638007834,-0.000330007834127,0.845324749019,-0.000202749019095
20,0.3,4.5,10,0.740277,0.157493,0.848153,0.740276791293,2.08707328087e-07,0.157624946865,-0.000131946865492,0.848107613467,4.53865333946e-05,0.740276383406,6.16593896607e-07,0.157492341061,6.58938761999e-07,0.847919616588,0.000233383411529
21,0.1,3,8,0.744674,0.134385,0.846513,0.744674356364,-3.56363637377e-07,0.135236436903,-0.000851436902597,0.846843948844,-0.000330948844158,0.744674494327,-4.94327365486e-07,0.13557103408,-0.00118603408031,0.846977327521,-0.000464327520747
22,0.1,3.5,8,0.749478,0.112166,0.820017,0.749477817403,1.82597401976e-07,0.112446239682,-0.000280239681818,0.820150126779,-0.000133126779222,0.749477755595,2.44404805727e-07,0.11216539137,6.08629999566e-07,0.820060066562,-4.30665619655e-05
23,0.1,4,8,0.759068,0.098327,0.825363,0.759067580942,4.19058440726e-07,0.098394639961,-6.76399610391e-05,0.825502239714,-0.000139239714287,0.759067459259,5.4074082223e-07,0.0984226913732,-9.5691373228e-05,0.825562170649,-0.000199170648609
24,0.1,4.5,8,0.762394,0.088619,0.835475,0.762394246981,-2.46980520258e-07,0.0886198877403,-8.87740259831e-07,0.835478437649,-3.43764935229e-06,0.762394359728,-3.59728471899e-07,0.0886477899395,-2.87899394741e-05,0.835485915118,-1.09151179681e-05
25,0.15,3,8,0.736992,0.140345,0.839251,0.736992062282,-6.22820042206e-08,0.140649503362,-0.000304503361781,0.839378730293,-0.000127730293137,0.736992055389,-5.53891809085e-08,0.140645136008,-0.000300136007558,0.839357757209,-0.000106757209192
26,0.15,3.5,8,0.740511,0.118049,0.815284,0.740511359035,-3.59035250641e-07,0.118043409284,5.59071614097e-06,0.815334395085,-5.03950853439e-05,0.740511433568,-4.33568142388e-07,0.118033900674,1.50993257793e-05,0.815346252062,-6.2252062437e-05
