beta,eta,N,R,P,U
0.209,4.5,2,0.759678696,0.07644864976,0.7797869055
0.21,4.5,2,0.7596809419,0.07641086482,0.779684314
0.211,4.5,2,0.7596854894,0.07637472248,0.779588645
0.212,4.5,2,0.7596923753,0.07634026019,0.7795000036
0.213,4.5,2,0.7597016365,0.07630751537,0.7794184947
0.214,4.5,2,0.7597133098,0.07627652546,0.7793442234
0.215,4.5,2,0.759727432,0.07624732789,0.7792772948
0.216,4.5,2,0.75974404,0.07621996009,0.7792178139
0.217,4.5,2,0.7597631706,0.0761944595,0.7791658858
0.218,4.5,2,0.7597848607,0.07617086356,0.7791216154
0.219,4.5,2,0.7598091471,0.07614920968,0.7790851078
0.22,4.5,2,0.7598360666,0.07612953531,0.7790564681
0.221,4.5,2,0.7598656561,0.07611187789,0.7790358013
0.222,4.5,2,0.7598979524,0.07609627483,0.7790232124
0.223,4.5,2,0.7599329923,0.07608276359,0.7790188065
0.224,4.5,2,0.7599708127,0.07607138158,0.7790226887
0.225,4.5,2,0.7600114505,0.07606216624,0.7790349638
0.226,4.5,2,0.7600549423,0.07605515501,0.7790557371
0.227,4.5,2,0.7601013252,0.07605038533,0.7790851135
0.228,4.5,2,0.7601506359,0.07604789461,0.7791231981
0.229,4.5,2,0.7602029113,0.0760477203,0.7791700958
0.197,4.5,3,0.7492953813,0.07918594363,0.7735412775
0.198,4.5,3,0.7492435575,0.07918646211,0.77335771
0.199,4.5,3,0.7491937209,0.07918844469,0.7731796563
0.2,4.5,3,0.7491459085,0.07919192882,0.7730072215
0.201,4.5,3,0.749100157,0.07919695193,0.7728405104
0.202,4.5,3,0.7490565034,0.07920355145,0.7726796282
0.203,4.5,3,0.7490149844,0.07921176482,0.7725246799
0.204,4.5,3,0.7489756369,0.07922162947,0.7723757706
0.205,4.5,3,0.7489384977,0.07923318282,0.7722330053
0.206,4.5,3,0.7489036037,0.07924646232,0.772096489
0.207,4.5,3,0.7488709916,0.0792615054,0.7719663268
0.208,4.5,3,0.7488406984,0.07927834949,0.7718426236
0.209,4.5,3,0.7488127609,0.07929703203,0.7717254846
0.21,4.5,3,0.7487872158,0.07931759044,0.7716150149
0.211,4.5,3,0.7487641001,0.07934006216,0.7715113193
0.212,4.5,3,0.7487434506,0.07936448463,0.771414503
0.213,4.5,3,0.7487253041,0.07939089527,0.771324671
0.214,4.5,3,0.7487096975,0.07941933153,0.7712419283
0.215,4.5,3,0.7486966675,0.07944983083,0.7711663801
0.216,4.5,3,0.7486862511,0.0794824306,0.7710981312
0.217,4.5,3,0.7486784851,0.07951716828,0.7710372868
