beta,eta,N,R,P,U,acceptability
0.209,4.5,2,0.759678696029,0.0764486497632,0.779786905545,0
0.21,4.5,2,0.759680941909,0.0764108648199,0.779684314034,0
0.211,4.5,2,0.759685489385,0.0763747224847,0.779588645026,0
0.212,4.5,2,0.759692375294,0.0763402601908,0.779500003562,0
0.213,4.5,2,0.759701636474,0.0763075153716,0.779418494681,0
0.214,4.5,2,0.759713309761,0.0762765254602,0.779344223422,0
0.215,4.5,2,0.759727431993,0.0762473278897,0.779277294824,0
0.216,4.5,2,0.759744040007,0.0762199600934,0.779217813927,0
0.217,4.5,2,0.759763170641,0.0761944595045,0.779165885769,0
0.218,4.5,2,0.75978486073,0.0761708635562,0.77912161539,0
0.219,4.5,2,0.759809147114,0.0761492096817,0.779085107828,0
0.22,4.5,2,0.759836066628,0.0761295353141,0.779056468124,0
0.221,4.5,2,0.75986565611,0.0761118778867,0.779035801316,0
0.222,4.5,2,0.759897952397,0.0760962748327,0.779023212444,0
0.223,4.5,2,0.759932992326,0.0760827635853,0.779018806547,0
0.224,4.5,2,0.759970812736,0.0760713815777,0.779022688663,0.00203937992596
0.225,4.5,2,0.760011450462,0.076062166243,0.779034963833,0.0109226656896
0.226,4.5,2,0.760054942342,0.0760551550146,0.779055737095,0.00780857961613
0.227,4.5,2,0.760101325213,0.0760503853255,0.779085113489,0.00322790601112
0.228,4.5,2,0.760150635913,0.076047894609,0.779123198053,0.000874366244812
0.229,4.5,2,0.760202911278,0.0760477202983,0.779170095827,3.48980623084e-06
0.197,4.5,3,0.749295381346,0.0791859436316,0.773541277477,0
0.198,4.5,3,0.749243557488,0.0791864621052,0.773357710035,0
0.199,4.5,3,0.749193720927,0.079188444691,0.773179656349,0
0.2,4.5,3,0.749145908501,0.0791919288224,0.773007221457,0
0.201,4.5,3,0.749100157046,0.0791969519324,0.772840510398,0
0.202,4.5,3,0.749056503401,0.0792035514543,0.772679628213,0
0.203,4.5,3,0.749014984402,0.0792117648213,0.772524679939,0
0.204,4.5,3,0.748975636886,0.0792216294665,0.772375770617,3.52704561232e-05
0.205,4.5,3,0.74893849769,0.0792331828233,0.772233005286,0.000454806867664
0.206,4.5,3,0.748903603652,0.0792464623247,0.772096488984,0.00110246496573
0.207,4.5,3,0.748870991609,0.079261505404,0.771966326752,0.00194313801335
0.208,4.5,3,0.748840698399,0.0792783494944,0.771842623627,0.00281629819893
0.209,4.5,3,0.748812760857,0.0792970320291,0.77172548465,0.00339453780376
0.21,4.5,3,0.748787215822,0.0793175904413,0.771615014859,0.00409057712934
0.211,4.5,3,0.748764100131,0.0793400621641,0.771511319294,0.00496287492982
0.212,4.5,3,0.748743450621,0.0793644846308,0.771414502994,0.0060697124208
0.213,4.5,3,0.748725304129,0.0793908952747,0.771324670997,0.00749428931565
0.214,4.5,3,0.748709697492,0.0794193315287,0.771241928345,0.00935713817757
0.215,4.5,3,0.748696667548,0.0794498308263,0.771166380075,0.0115965043697
0.216,4.5,3,0.748686251134,0.0794824306006,0.771098131226,0.0134707927899
0.217,4.5,3,0.748678485086,0.0795171682847,0.771037286839,0.0156492433679
0.218,4.5,3,0.748673406243,0.0795540813119,0.770983951951,0.0183225785344
0.219,4.5,3,0.74867105144,0.0795932071154,0.770938231603,0.0216282349964
0.22,4.5,3,0.748671457517,0.0796345831284,0.770900230834,0.0257291366811
0.221,4.5,3,0.748674661309,0.079678246784,0.770870054682,0.0307791788462
0.222,4.5,3,0.748680699654,0.0797242355156,0.770847808187,0.0367687730737
0.223,4.5,3,0.748689609389,0.0797725867562,0.770833596388,0.0429190642334
0.224,4.5,3,0.748701427352,0.0798233379391,0.770827524325,0.0290234726097
0.232,3.05,4,0.731104231068,0.129340594583,0.784746831211,0
0.233,3.05,4,0.731081014489,0.12947800339,0.784637847079,0
0.231,3.06,4,0.731219261866,0.128673563104,0.784256047526,0
0.232,3.06,4,0.731193833944,0.128807842733,0.784143331373,0
0.233,3.06,4,0.731171237554,0.128945266482,0.784037631305,0
0.235,3.06,4,0.731134686721,0.129229696076,0.783847699577,0
0.23,3.07,4,0.73133979665,0.128014564427,0.783783321413,0
0.231,3.07,4,0.731312181932,0.128145753735,0.78366692263,0
0.232,3.07,4,0.731287365631,0.128280048781,0.78355744823,0
0.234,3.07,4,0.731246275629,0.128558105824,0.783359692738,0
0.228,3.08,4,0.731498241325,0.127238416083,0.783455215057,0
0.229,3.08,4,0.731465735893,0.127363524002,0.783328455391,0
0.23,3.08,4,0.731435958925,0.127491661845,0.783208423368,0
0.231,3.08,4,0.73140894726,0.127622867045,0.783095224027,0
0.233,3.08,4,0.731363367184,0.127894629249,0.78288974355,0
0.234,3.08,4,0.731344872449,0.12803526112,0.782797672491,0
0.228,3.09,4,0.731596980066,0.126720367276,0.782891251978,0
0.229,3.09,4,0.731565065396,0.12684549251,0.782767636105,0
0.23,3.09,4,0.731535882913,0.12697364672,0.782650761213,0
0.231,3.09,4,0.731509469455,0.127104867339,0.782540732341,0
0.232,3.09,4,0.731485861858,0.1272391918,0.78243765453,0
0.233,3.09,4,0.731465096959,0.127376657536,0.782341632818,0
0.228,3.1,4,0.731699401816,0.126207171179,0.782344363359,0
0.229,3.1,4,0.731668073063,0.126332313256,0.782223862306,0
0.23,3.1,4,0.731639480219,0.12646048336,0.782110115573,0
0.231,3.1,4,0.731613660121,0.126591718924,0.782003228199,0
0.232,3.1,4,0.731590649607,0.126726057381,0.781903305223,0
0.233,3.1,4,0.731570485514,0.126863536165,0.781810451685,0
0.234,3.1,4,0.731553204678,0.127004192709,0.781724772624,0
0.235,3.1,4,0.731538843937,0.127148064447,0.781646373078,0
0.236,3.1,4,0.731527440129,0.12729518881,0.781575358088,0
0.237,3.1,4,0.73151903009,0.127445603233,0.781511832692,0
0.238,3.1,4,0.731513650658,0.127599345149,0.78145590193,0
0.227,3.11,4,0.731838868658,0.1255766233,0.781938407651,0
0.228,3.11,4,0.731805418182,0.1256987921,0.781814329827,0
0.229,3.11,4,0.731774670499,0.125823950545,0.781696914621,0
0.23,3.11,4,0.731746662448,0.125952136069,0.781586267074,0
0.231,3.11,4,0.731721430865,0.126083386105,0.781482492225,0
0.232,3.11,4,0.731699012587,0.126217738085,0.781385695112,0
0.233,3.11,4,0.731679444452,0.126355229444,0.781295980775,0
0.234,3.11,4,0.731662763297,0.126495897615,0.781213454253,0
0.235,3.11,4,0.73164900596,0.12663978003,0.781138220586,0
0.236,3.11,4,0.731638209276,0.126786914123,0.781070384812,0
0.237,3.11,4,0.731630410085,0.126937337327,0.781010051971,0
0.227,3.12,4,0.731947818741,0.1250730087,0.781421966292,0
0.228,3.12,4,0.731914940767,0.125195194343,0.781300932004,0
0.229,3.12,4,0.731884769309,0.125320368683,0.781186573674,0
0.23,3.12,4,0.731857341204,0.125448569154,0.781078996341,0
0.231,3.12,4,0.731832693289,0.125579833188,0.780978305044,0
0.232,3.12,4,0.731810862402,0.125714198218,0.780884604821,0
0.233,3.12,4,0.73179188538,0.125851701679,0.780798000713,0
0.234,3.12,4,0.73177579906,0.125992381002,0.780718597759,0
0.235,3.12,4,0.731762640279,0.126136273622,0.780646500997,0
0.236,3.12,4,0.731752445874,0.126283416971,0.780581815467,0
0.237,3.12,4,0.731745252683,0.126433848482,0.780524646208,0
0.238,3.12,4,0.731741097543,0.126587605589,0.78047509826,0
0.239,3.12,4,0.731740017291,0.126744725726,0.780433276661,0
0.24,3.12,4,0.731742048764,0.126905246324,0.780399286451,0
0.241,3.12,4,0.7317472288,0.127069204818,0.780373232668,0
0.242,3.12,4,0.731755594235,0.127236638641,0.780355220353,0
0.243,3.12,4,0.731767181907,0.127407585225,0.780345354544,0
