candidate,vertex,w_R,w_P,w_U,acceptability
15,0,0.12154228478,0.87845771522,-1.11022302463e-16,0.00203937992596
15,1,0.0986995731568,0.901300426843,1.11022302463e-16,0.00203937992596
15,2,0.0706022376132,0.842495405189,0.0869023571974,0.00203937992596
15,3,0.0808779019642,0.849282000433,0.0698400976027,0.00203937992596
15,4,0.0904767956445,0.855789261014,0.0537339433417,0.00203937992596
15,5,0.0989855819547,0.861717321477,0.0392970965683,0.00203937992596
15,6,0.106556359945,0.867144618604,0.0262990214509,0.00203937992596
15,7,0.113314411991,0.872135659543,0.0145499284659,0.00203937992596
15,8,0.119363878466,0.876743966012,0.00389215552219,0.00203937992596
16,0,0.0986995731568,0.901300426843,1.11022302463e-16,0.0109226656896
16,1,0.0722257773218,0.927774222678,0,0.0109226656896
16,2,0,0.835040312198,0.164959687802,0.0109226656896
16,3,0,0.798727872709,0.201272127291,0.0109226656896
16,4,0.00822575530451,0.803608675866,0.188165568829,0.0109226656896
16,5,0.0271800152703,0.815079023324,0.157740961405,0.0109226656896
16,6,0.0434945319643,0.82516130771,0.131344160326,0.0109226656896
16,7,0.0576461455779,0.834103807882,0.10825004654,0.0109226656896
16,8,0.0700036221768,0.842098423021,0.087897954802,0.0109226656896
16,9,0.0706022376132,0.842495405189,0.0869023571974,0.0109226656896
17,0,0.0722257773218,0.927774222678,0,0.00780857961613
17,1,0.047309489862,0.952690510138,0,0.00780857961613
17,2,0,0.913214831229,0.0867851687714,0.00780857961613
17,3,0,0.835040312198,0.164959687802,0.00780857961613
18,0,0.047309489862,0.952690510138,-1.11022302463e-16,0.00322790601112
18,1,0.0238111816138,0.976188818386,-1.11022302463e-16,0.00322790601112
18,2,0,0.96313261285,0.0368673871495,0.00322790601112
18,3,0,0.913214831229,0.0867851687714,0.00322790601112
19,0,0.0238111816138,0.976188818386,1.11022302463e-16,0.000874366244812
19,1,0.00160765276182,0.998392347238,0,0.000874366244812
19,2,0,0.997829253733,0.00217074626668,0.000874366244812
19,3,0,0.96313261285,0.0368673871495,0.000874366244812
20,0,0.00160765276182,0.998392347238,0,3.48980623084e-06
20,1,0,1,0,3.48980623084e-06
20,2,0,0.997829253733,0.00217074626668,3.48980623084e-06
28,0,0.130604218694,0.869395781306,0,3.52704561232e-05
28,1,0.12154228478,0.87845771522,0,3.52704561232e-05
28,2,0.119363878466,0.876743966012,0.00389215552219,3.52704561232e-05
29,0,0.155247318411,0.844752681589,0,0.000454806867664
29,1,0.130604218694,0.869395781306,0,0.000454806867664
29,2,0.119363878466,0.876743966012,0.00389215552219,0.000454806867664
29,3,0.113314411991,0.872135659543,0.0145499284659,0.000454806867664
30,0,0.182173054953,0.817826945047,0,0.00110246496573
30,1,0.155247318411,0.844752681589,0,0.00110246496573
30,2,0.113314411991,0.872135659543,0.0145499284659,0.00110246496573
